x,y,range,pos_x,pos_y,lat,lon
519,838,230,201.5543975830078,-129.29734802246094,-22.91929502794342,-43.16546339731459
558,824,467,403.7301635742188,-265.20977783203125,-22.92155700787172,-43.16394278386852
914,1245,16,12.745017051696776,-10.362881660461426,-22.917182593612125,-43.16679405815999
2552,916,62,26.414594650268555,-60.26433181762695,-22.917335531378946,-43.16623575149007
1341,1582,9,6.339144229888916,-6.639735221862793,-22.91711092352013,-43.16683571341216
1358,1419,11,7.98616886138916,-8.450016021728516,-22.917129350736868,-43.16681545965516
754,1424,11,9.443977355957031,-6.980837345123291,-22.917145660968405,-43.1668318970984
2133,1429,11,5.860767841339111,-10.01833724975586,-22.91710557135647,-43.16679791298669
2275,1332,13,6.506899356842041,-12.22471523284912,-22.91711280039558,-43.16677322762103
405,884,91,81.98458099365234,-49.04230880737305,-22.91795725868196,-43.16636130556268
2744,1016,33,12.58540153503418,-33.184993743896484,-22.91718080780415,-43.1665387201416
1506,887,89,58.3991813659668,-67.5147476196289,-22.91769338086111,-43.166154632494745
2795,1173,19,7.047941207885742,-19.3459529876709,-22.91711885367205,-43.16669355389363
253,1018,33,31.10179710388184,-16.92214012145996,-22.917387972668426,-43.16672067196105
815,1209,17,14.263606071472168,-10.934440612792969,-22.91719958386744,-43.16678766345253
1302,1453,11,7.704776287078857,-7.884987354278564,-22.91712620246461,-43.16682178130058
631,979,41,34.918155670166016,-23.973482131958008,-22.917430670795145,-43.16664178024019
160,1171,19,18.47198486328125,-9.473770141601562,-22.91724666798908,-43.16680400570439
1707,1294,14,8.881292343139648,-11.5994234085083,-22.91713936554423,-43.16678022350181
2850,886,84,30.17019462585449,-86.56352233886719,-22.9173775497273,-43.1659415112739
2533,1471,10,4.535614490509033,-10.205862998962402,-22.917090745295265,-43.16679581491386
1964,1439,11,6.19481086730957,-9.496195793151855,-22.91710930869173,-43.16680375480205
1796,998,36,21.826980590820312,-30.114051818847656,-22.91728420430288,-43.16657307840883
2154,1517,9,5.090008735656738,-8.821602821350098,-22.9170969479608,-43.1668113022732
1262,887,90,64.18098449707031,-64.13944244384766,-22.917758068745773,-43.16619239603442
2752,1291,14,5.490444660186768,-14.567900657653809,-22.917101428112108,-43.16674701162836
708,1084,25,21.28497695922852,-15.30604362487793,-22.91727814026582,-43.16673875314808
846,1614,8,7.04406213760376,-5.500586986541748,-22.91711881027229,-43.16684845841367
2260,1469,10,5.203003406524658,-9.67660903930664,-22.917098212166103,-43.16680173630522
161,1550,9,9.07227897644043,-4.655901908874512,-22.91714150233807,-43.16685790890681
1679,1079,26,16.057119369506836,-20.615148544311523,-22.91721965002651,-43.16667935389859
765,1155,20,16.69609260559082,-12.42290496826172,-22.917226798977463,-43.16677101023755
2566,1000,35,15.07326889038086,-34.74321746826172,-22.917208642525065,-43.16652128644587
886,1563,9,7.437597751617432,-5.947710514068604,-22.917123213221657,-43.1668434559128
